,name,preprocessed
296,M. 클로제,"['크리스티아누 호날두', 'H. 크레스포', 'P. 오바메양', '앙디 들로르']"
297,M. 테어슈테겐,"['C. 브라보', '페페 레이나', '니콜라 페페', '데헤아']"
298,M. 파샬리치,"['잭 로드웰', 'M. 로카텔리', '미하엘 발락', '맷 리치']"
299,M. 펠라이니,"['얀 콜러', '파올로 말디니', '루드 굴리트', 'P. 비에이라']"
300,M. 폴리타노,"['주앙 칸셀루', '유리 베르치체']"
301,M. 피아니치,"['파벨 네드베드', 'P. 비에이라', '폴 포그바', '루카 모드리치', '루드 굴리트']"
302,M. 할슈텐베르크,"['제롬 보아텡', '조지 베스트', '미하엘 발락', '마르셀 드사이', '파올로 말디니']"
303,N. 곤살레스,"['토마스 뮐러', '홍철', '네이마르 Jr.', '카일 워커', '리오넬 메시']"
304,N. 로데이로,"['C. 로드리게스', 'L. 피슈체크']"
305,N. 막시모비치,"['뤼카 디뉴', '페를랑 멘디', '로멜루 루카쿠', '홍철', '알렉스 산드루']"
306,N. 모이산데르,['라힘 스털링']
307,N. 무키엘레,"['세르히오 라모스', '파올로 말디니']"
308,N. 암라바트,['라자 나잉골란']
309,N. 옐라비치,"['P. 에브라', '루크 쇼', '알렉스 산드루', '마르셀루']"
310,N. 오타멘디,"['라힘 스털링', '페를랑 멘디', '에데르', '네이마르 Jr.', '존 스톤스']"
311,N. 차니올로,"['P. 비에이라', '에마뉘엘 프티', 'J. 파스토레', '주앙 펠릭스', '루드 굴리트']"
312,N. 칼리니치,"['토마스 뮐러', 'H. 크레스포', '에딘 제코', '페르난도 토레스', '루카스 모라']"
313,N. 클라인,['J. 마스체라노']
314,N. 탈리아피코,['마르셀루']
315,O. 마틴스,"['S. 아구에로', '크리스티아누 호날두', '리오넬 메시', '티에리 앙리']"
316,O. 브라네시,['네마냐 마티치']
317,O. 비어호프,"['H. 크레스포', '크리스티아누 호날두', '로멜루 루카쿠', 'M. 발로텔리', '루드 굴리트']"
318,O. 솔샤르,"['프랭크 램파드', '테디 셰링엄', '마이클 오언', '호나우두']"
319,O. 압둘라흐만,['리오넬 메시']
320,O. 외지아쿠프,['티보 쿠르투아']
321,O. 진첸코,"['네이마르 Jr.', '후벵 디아스', '루드 굴리트', '페를랑 멘디']"
322,O. 토프라크,"['G. 보나벤투라', '네이마르 Jr.', '시모네 베르디', '히바우두', '루드 굴리트']"
323,P. 가사니가,"['닉 포프', '리스 넬슨', 'G. 돈나룸마', '헤로니모 룰리', '가야']"
324,P. 골리니,['마르코스 요렌테']
325,P. 디오프,"['크리스티아누 호날두', '얀 베르통언', 'A. 산체스', '네이마르 Jr.', '파올로 말디니']"
326,P. 메르테사커,"['크리스티아누 호날두', 'M. 반바스텐', '파블로 마리', '얀 콜러', '루드 굴리트']"
327,P. 비에이라,"['F. 레이카르트', '루드 굴리트', '파올로 말디니', '에마뉘엘 프티']"
328,P. 사발레타,"['레오 자바', 'F. 칸나바로', '마르셀루', '카일 워커']"
329,P. 시세,"['티머시 웨아', '호나우두', 'P. 오바메양', '파블로 마리', '뎀바 바']"
330,P. 에브라,['테오']
331,P. 오바메양,"['크리스티아누 호날두', 'H. 크레스포', '호나우두', '티에리 앙리']"
332,P. 지엘린스키,"['A. 발렌시아', '에릭 다이어', '조르디 알바', '가야', '루드 굴리트']"
333,P. 카데라베크,"['무사 시소코', '에마뉘엘 프티', '로멜루 루카쿠', '루드 굴리트', '필리포 인자기']"
334,P. 쿠트로네,"['토마스 뮐러', '티모 베르너', '루드 굴리트', '필리포 인자기', '호나우두']"
335,P. 클라위베르트,"['H. 크레스포', 'J. 클라위베르트', '크리스티아누 호날두', '루드 굴리트', '호나우두']"
336,P. 킴펨베,"['가레스 베일', '루드 굴리트', '이드리사 게예', '손흥민']"
337,P. 호이비에르,"['P. 비에이라', '에마뉘엘 프티', '엠레 잔', '맷 리치', '잭 로드웰']"
338,R. 게헤이루,"['조현우', '리스 넬슨', '덴젤 둠프리스', '케빈 음바부', '카시야스']"
339,R. 데파울,"['다비드 실바', '호베르투 피르미누', '다비드 루이스', 'A. 발렌시아']"
340,R. 레반도프스키,"['토마스 뮐러', '크리스티아누 호날두', '해리 케인', '호나우두']"
341,R. 로드리게스,"['테오', 'P. 비에이라', '하네스 볼프', '루드 굴리트', 'J. 드락슬러']"
342,R. 로프터스-칙,['리오넬 메시']
343,R. 만드라고라,"['폴 포그바', '아론 램지', 'P. 비에이라', '에릭 바이']"
344,R. 말리노프스키,['M. 파샬리치']
345,R. 몬톨리보,"['L. 마테우스', '티에리 앙리']"
346,R. 바주르,"['은골로 캉테', '포르투', '에마뉘엘 프티']"
347,R. 바타글리아,"['히카르두 굴라르', '은골로 캉테', '카일 워커', 'A. 발렌시아']"
348,R. 반니스텔로이,"['야프 스탐', '크리스티아누 호날두', '로멜루 루카쿠', '웨인 루니', '해리 케인']"
349,R. 버트란드,"['애슐리 콜', '프랑크 리베리', '홍철', '루크 쇼', '카일 워커']"
350,R. 부데부즈,"['조지 베스트', '차두리', '루드 굴리트']"
351,R. 야르스테인,"['토마스 파티', '케파', '로멜루 루카쿠', '이니에스타', '페트르 체흐']"
352,R. 오르솔리니,"['로만 뷔어키', '파벨 네드베드', '크리스티아누 호날두']"
353,R. 클라반,"['웨인 루니', 'D. 베르캄프', '손흥민']"
354,R. 키슈나,"['가레스 베일', '라이언 바벨', '아리언 로번']"
355,R. 페레이라,"['네이마르 Jr.', '키어런 깁스']"
356,R. 푸네스 모리,"['레프 야신', '파블로 마리']"
357,R. 프레이저,"['헤수스 코로나', 'D. 마라도나', '킬리안 음바페', '프레드']"
358,R. 피에르-가브리엘,"['산데르 베르게', '에마뉘엘 프티', '얀 베르통언', 'A. 산체스', '루드 굴리트']"
359,S. 더브레이,"['손흥민', '라파엘 바란', '로스 바클리', '에릭 다이어', '폴 포그바']"
360,S. 라르손,"['S. 프뢰들', '라파엘 바란']"
361,S. 라이코비치,['손흥민']
362,S. 로데,"['피케', '은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '폴 포그바']"
363,S. 로메로,"['P. 비에이라', '에마뉘엘 프티', '라파엘 바란', '엠레 잔', '치차리토']"
364,S. 루디,"['미하엘 발락', 'P. 비에이라', 'F. 레이카르트', '유라이 쿠츠카', '루드 굴리트']"
365,S. 리히트슈타이너,"['주앙 칸셀루', '맷 리치', '카일 워커', '다닐루', '알렉스 산드루']"
366,S. 만디케스,"['조엘 마티프', '라파엘 바란', 'A. 고메스', '파비뉴', '파올로 말디니']"
367,S. 무스타피,['소크라티스']
368,S. 밀린코비치-사비치,"['P. 비에이라', '에마뉘엘 프티', '미하엘 발락', '폴 포그바', '루드 굴리트']"
369,S. 베르흐베인,"['홍철', '퀸시 프로머스', 'S. 베르흐이스', '가레스 베일']"
370,S. 베르흐이스,"['루이스 피구', '가레스 베일', '네이마르 Jr.', '히바우두', '티에리 앙리']"
371,S. 브르살리코,"['레프 야신', '킬리안 음바페', '펠레', '리오넬 메시', '글렌 존슨']"
372,S. 시리구,"['잔루이지 부폰', '코케', '소크라티스', '루드 굴리트', '제이미 바디']"
373,S. 아구에로,"['호나우두', '크리스티아누 호날두', '리오넬 메시', '티에리 앙리']"
374,S. 아리아스,"['루이스 피구', '네이마르 Jr.']"
375,S. 에펜베르크,"['에마뉘엘 프티', '루드 굴리트', 'P. 비에이라', '미하엘 발락']"
376,S. 엘샤라위,"['에덴 아자르', '킬리안 음바페', '네이마르 Jr.', '손흥민']"
377,S. 오카카,"['야프 스탐', '라파엘 바란', '로멜루 루카쿠', '리오넬 메시', '파블로 마리']"
378,S. 요베티치,"['웨인 루니', '로비 파울러', '루드 굴리트', '호나우두']"
379,S. 조빈코,"['프레드', '네마냐 마티치', '에릭 다이어', '김신욱', 'V. 린델뢰프']"
380,S. 추쿠에제,"['최용수', 'S. 아구에로', '기성용', '김신욱', '황의조']"
381,S. 코아테스,"['사울', '리스 넬슨', '데헤아', '페페 레이나', '가비']"
382,S. 프뢰들,['케빈 트라프']
383,S. 한다노비치,"['닉 포프', '에마뉘엘 프티', '카림 벤제마', '데헤아', '티보 쿠르투아']"
384,S. 할러,"['치차리토', '파블로 포르날스', '로스 바클리', '은골로 캉테']"
385,T. 델레-바시루,['에데르']
386,T. 도미야스,"['A. 로마뇰리', '콰조 아사모아', '토니 빌레나', '다니엘 바스']"
387,T. 딜레이니,"['젠나로 가투소', '악셀 비첼', '엠레 잔', 'P. 오바메양', 'D. 데로시']"
388,T. 바츨리크,"['L. 마테우스', '은골로 캉테', 'C. 푸욜', 'A. 발렌시아']"
389,T. 바카요코,"['아론 램지', '알반 라퐁', '다비드 루이스', '리스 넬슨', '카를로스 바카']"
390,T. 베르마엘렌,"['피케', 'P. 비에이라', '세르지오 부스케츠', '사뮈엘 움티티', 'F. 칸나바로']"
391,T. 소우체크,"['아론 마르틴', '젤송 마르팅스', '네이마르 Jr.', 'B. 마르팅스 인디', '호나우두']"
392,T. 스테파넨코,['키코 카시야']
393,T. 스트라코샤,"['다니 가르시아', '하비 가르시아', '시오 월콧', 'L. 파볼레티']"
394,T. 아다라바요,"['닉 포프', '에데르', '조너선 레코', 'A. 베고비치', '조 하트']"
395,T. 알데르베이럴트,"['무사 시소코', '얀 베르통언', 'A. 산체스', '솔 캠벨', '파올로 말디니']"
396,T. 알렉산더-아놀드,"['주앙 칸셀루', '은골로 캉테', '가레스 베일', '카일 워커', '루드 굴리트']"
397,T. 에이브러햄,"['H. 크레스포', 'E. 홀란', '로멜루 루카쿠', '올리비에 지루', '루드 굴리트']"
398,T. 자말레티노프,"['킬리안 음바페', '조지 베스트']"
399,T. 카스타뉴,['이언 라이트']
400,T. 코프메이너르스,"['에마뉘엘 프티', '아르투로 비달', '김도근', '잭 로드웰', '루드 굴리트']"
401,T. 포수-멘사,"['티모 베르너', '로멜루 루카쿠', '티에리 앙리']"
402,V. 다리다,"['조르디 알바', '홍철', '조던 모리스', '유리 베르치체']"
403,V. 린델뢰프,"['필 존스', '호나우두', '파올로 말디니', '에릭 바이']"
404,V. 아부바카르,"['잔프랑코 졸라', '에덴 아자르', '포르투', '호나우두']"
405,V. 에니에아마,"['오사코 유야', 'P. 오바메양', '손흥민']"
406,V. 오지자-오포,"['W. 슈체스니', '닉 포프', '잭 버틀런드', 'J. 파블렌카', '티보 쿠르투아']"
407,V. 이비셰비치,"['라파엘 바란', '파올로 말디니', '티에리 앙리']"
408,V. 카들레츠,"['S. 아구에로', '킬리안 음바페', '리오넬 메시', '베베']"
409,W. 베고르스트,"['닉 포프', '페를랑 멘디', 'G. 돈나룸마', '티보 쿠르투아', '페트르 체흐']"
410,W. 슈체스니,"['잔루이지 부폰', '이반 라키티치', '티보 쿠르투아', '데헤아']"
411,W. 은디디,"['리스 넬슨', '로멜루 루카쿠', '홍철', '조르디 알바', '알렉스 산드루']"
412,W. 트로스트-에콩,"['에덴 아자르', '크리스티아누 호날두', '카림 벤제마', '리오넬 메시', '루드 굴리트']"
413,Y. 베르스하런,['리오넬 메시']
414,Y. 압델하미드,['올리버 핑크']
415,Y. 엔네시리,"['루드 굴리트', '로멜루 루카쿠', 'C. 비에리', '리오넬 메시', '파올로 말디니']"
416,Y. 카라스코,"['루이스 피구', '손흥민', '킬리안 음바페', 'F. 페레이라', '네이마르 Jr.']"
417,Z. 유누조비치,['로만 뷔어키']
418,Z. 이브라히모비치,"['크리스티아누 호날두', '로멜루 루카쿠', '웨인 루니', '루드 굴리트', '호나우두']"
419,É. 구티에레스,['피터 크라우치']
420,É. 멘디,['D. 그레이']
421,가가와 신지,"['혼다 게이스케', '무토 요시노리', 'A. 델피에로', '루드 굴리트', '파올로 말디니']"
422,가레스 배리,['가레스 베일']
423,가레스 베일,"['네이마르 Jr.', '리오넬 메시', '루드 굴리트', '손흥민']"
424,가린샤,"['김정민', '로빈 반페르시', '네이마르 Jr.', '도안 리쓰']"
425,가브리엘,"['이언 라이트', '킬리안 음바페', '레온 고레츠카', '리로이 자네', '리오넬 메시']"
426,가브리엘 보실리아,"['리오넬 메시', '네이마르 Jr.']"
427,가브리엘 제주스,"['에데르', 'S. 아구에로', 'A. 발렌시아', '크리스티아누 호날두', '카일 워커']"
428,가브리엘 파울리스타,"['테오', '주앙 칸셀루', 'A. 발렌시아', '카일 워커', '알렉스 산드루']"
429,가비,['R. 레반도프스키']
430,가야,"['윌프리드 자하', '세르지오 부스케츠', '로스 바클리', 'P. 오바메양']"
431,가엘 카쿠타,['리오넬 메시']
432,가엘 클리시,"['페를랑 멘디', '나초 몬레알', '폴 포그바', 'L. 에르난데스', '조르디 알바']"
433,강현무,['박지수']
434,게리 네빌,"['존 스톤스', '루드 굴리트', '페를랑 멘디', '솔 캠벨']"
435,게리 리네커,"['페르난도 토레스', '티에리 앙리', '해리 케인', '마이클 오언', '호나우두']"
436,게리 케이힐,"['커트 주마', 'P. 비에이라', '다비드 루이스', '라파엘 바란']"
437,게오르게 하지,"['리스 넬슨', '루드 굴리트', 'D. 마라도나', '리오넬 메시', '파올로 말디니']"
438,고란 판데프,"['앙헬 코레아', 'D. 데로시']"
439,고메스,"['리스 넬슨', '에데르', 'A. 고메스', '호나우지뉴', '알레샨드리 파투']"
440,고명진,['이을용']
441,고무열,"['유상철', '김도근', '홍명보']"
442,고요한,"['은골로 캉테', '홍철', '요한 크루이프', '카일 워커']"
443,고정운,"['네이마르 Jr.', '리오넬 메시', '정운', '루드 굴리트']"
444,고종수,"['유리 베르치체', '박용우', '카를로스 바카', '이니에스타']"
445,곤살로 마로니,"['가레스 베일', '구보 다케후사', '네이마르 Jr.']"
446,곤살로 이과인,"['크리스티아누 호날두', 'H. 크레스포', '카림 벤제마', '해리 케인']"
447,곤살루 게드스,"['카를로스 솔레르', '에덴 아자르', '산티 미나', 'A. 발렌시아', '호베르투 피르미누']"
448,과이타,"['킬리안 음바페', 'P. 오바메양', '펠레', '페르난도 가고', '티에리 앙리']"
449,곽광선,['김용환']
450,곽태휘,"['김민재', '홍정호', 'M. 펠라이니']"
451,괴칸 인러,"['토마스 뮐러', '차범근']"
452,구보 다케후사,"['정우영', '제시 린가드']"
453,구성윤,"['서동명', '조현우', '김진현', '김승규']"
454,구자룡,['아르투로 비달']
455,구자철,"['기성용', '홍철', '황의조', '손흥민']"
456,권경원,"['이정수', '김민재', '김영권', '파올로 말디니']"
457,권완규,['루드 굴리트']
458,권창훈,"['유상철', '손흥민', '리오넬 메시', '하석주']"
459,그라니트 자카,"['세스크 파브레가스', '가레스 베일', '다비드 루이스', '에마뉘엘 프티']"
460,그리말도,"['조르디 알바', '히바우두', '리오넬 메시', 'O. 마틴스']"
461,기성용,"['유상철', '미하엘 발락', '루드 굴리트', '에마뉘엘 프티']"
462,기슬랭 코난,"['커트 주마', '도안 리쓰', '파올로 말디니']"
463,김건희,['홍철']
464,김광석,"['유상철', '호물로']"
465,김기동,"['김승대', '페드로 포로']"
466,김남일,"['유상철', '김도근', 'P. 비에이라', '에마뉘엘 프티']"
467,김도균,"['로만 뷔어키', '루드 굴리트']"
468,김도근,"['유상철', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
469,김도훈,"['황선홍', '김신욱', '토마스 뮐러', '페르난도 토레스']"
470,김두현,"['기성용', '유상철', '루카 모드리치', '이재성']"
471,김문환,"['조르디 알바', '홍철', 'I. 사르', '은골로 캉테']"
472,김민우,"['L. 마테우스', '장현수', '리오넬 메시', '모하메드 살라']"
473,김민재,"['라파엘 바란', '홍명보', '김영권', '파올로 말디니']"
474,김병지,"['김영광', '이운재', '조현우', '서동명']"
475,김보경,"['기성용', '이재성']"
476,김상식,"['이정수', '홍명보', '김영권', 'L. 에르난데스']"
477,김세윤,['케빈 가메이로']
478,김승규,"['서동명', '조현우', '이운재', '김병지']"
479,김신욱,"['손흥민', '황의조', '루드 굴리트', '차범근']"
480,김영광,"['서동명', '조현우', '이운재']"
481,김영권,"['이정수', '김민재', '윤영선', '파올로 말디니']"
482,김영철,['조지 베스트']
483,김오규,['루카 모드리치']
484,김인성,['호나우두']
485,김재성,"['강민수', '박지수', '루드 굴리트', '김민재']"
486,김정민,"['기성용', '차범근', '루드 굴리트']"
487,김준형,['김현우']
488,김진규,"['이정수', '홍명보', '김영권', '로멜루 루카쿠']"
489,김진수,"['조르디 알바', '홍철', '루드 굴리트', '마르셀루']"
490,김진야,"['리오넬 메시', '홍철', '마르셀루', '카일 워커']"
491,김진현,"['서동명', '조현우', '구성윤', '김승규']"
492,김창수,"['김태환', '차두리', '하석주']"
493,김치우,"['피케', '아드리안 마린', 'M. 더리흐트', '소크라테스', '루드 굴리트']"
494,김태영,"['이정수', '홍철', 'F. 칸나바로', '파올로 말디니']"
495,김태환,"['김승대', '홍철', '스티븐 제라드', '황의조']"
496,김현우,['레프 야신']
497,나가토모 유토,"['케빈 음바부', '다비드 알라바', '크리스티아누 호날두', 'A. 발렌시아']"
498,나니,"['리오넬 메시', '네이마르 Jr.', 'P. 비에이라', '에마뉘엘 프티']"
499,나비 케이타,"['피케', '제롬 보아텡', '니클라스 쥘레', '티아고']"
500,나빌 벤탈렙,"['폴 포그바', '무사 시소코', 'F. 레이카르트', '에마뉘엘 프티']"
501,나빌 페키르,"['폴 포그바', 'D. 파예트', '제르단 샤키리', '리오넬 메시']"
502,나우두,"['루카스 레이바', 'D. 파예트', '킬리안 음바페']"
503,나초 몬레알,"['루크 쇼', 'P. 비에이라', '에마뉘엘 프티']"
504,나초 페르난데스,"['라파엘 바란', '나초 몬레알', 'P. 에브라', '세르히오 라모스', '루카스 모라']"
505,남기일,"['박동진', '심상민']"
506,남준재,"['차범근', '루이스 피구', '설기현', '손흥민']"
507,남태희,['리오넬 메시']
508,네마냐 마티치,"['M. 펠라이니', '로이 킨', '루드 굴리트', '에마뉘엘 프티']"
509,네벤 수보티치,"['하미레스', '에마뉘엘 프티', 'L. 마테우스', '레온 고레츠카', '카일 워커']"
510,네이마르 Jr.,"['펠레', '에덴 아자르', '킬리안 음바페', '리오넬 메시']"
511,네이선 아케,"['F. 칸나바로', '다비드 루이스', '파올로 말디니', 'M. 더리흐트']"
512,네투,"['닉 포프', '필리포 인자기']"
513,넬송 세메두,"['리스 넬슨', '차두리', '홍철', '카일 워커', '조르디 알바']"
514,노상래,"['마이클 캐릭', '에우제비우', '차범근', '호나우두']"
515,노정윤,"['김민재', '루카 모드리치', '서정원', '리오넬 메시']"
516,누리 샤힌,['솔 캠벨']
517,니코 슐츠,"['조르디 알바', '홍철', '악셀 비첼', '단테']"
518,니콜라 은쿨루,"['다비드 루이스', '리스 넬슨', '에드가', '팔카오', '포르투']"
519,니콜라 페페,"['옌스 레만', '리오넬 메시', '가레스 베일', '네이마르 Jr.']"
520,니콜로 바렐라,"['은골로 캉테', 'L. 마테우스', '에릭 다이어', '가야', '엠레 모르']"
521,니클라스 쥘레,"['폴 포그바', '루드 굴리트', '레온 고레츠카', '미하엘 발락']"
522,닉 포프,['조지 베스트']
523,닐 영,"['크리스티아누 호날두', '가레스 베일', '리오넬 메시', '손흥민']"
524,다니 다코스타,"['제롬 보아텡', '리스 넬슨', '라파엘 바란', '루드 굴리트', '파올로 말디니']"
525,다니 세바요스,"['라자 나잉골란', '나빌 벤탈렙', '가야']"
526,다니 아우베스,"['에마뉘엘 프티', '카푸', '차두리', '카일 워커', '브루누 알베스']"
527,다니 올모,['크리스티아누 호날두']
528,다니 파체코,"['은골로 캉테', '가브리엘', '홍철', '카일 워커', '케빈 말키']"
529,다니엘 바스,['A. 발렌시아']
530,다니엘 슈바브,"['야프 스탐', '리스 넬슨']"
531,다닐루,"['존 스톤스', 'P. 비에이라', '파비뉴', '파올로 말디니']"
532,다닐루 페레이라,"['리스 넬슨', '홍철', '조르디 알바', '알렉스 산드루', '마르셀루']"
533,다보르 슈케르,"['M. 슈크르텔', '라울', 'D. 베르캄프', 'H. 크레스포']"
534,다비데 산톤,"['베냐민 헨릭스', 'L. 보누치', '로렌', '파올로 말디니']"
535,다비드 네리스,"['손흥민', '에릭 다이어', '루카스 레이바', '해리 케인', '루카스 모라']"
536,다비드 루이스,"['커트 주마', '세르히오 라모스', '에마뉘엘 프티']"
537,다비드 비야,"['다비드 루이스', '페르난도 토레스']"
538,다비드 실바,"['리오넬 메시', '올리비에 지루', '카림 벤제마', '다비드 루이스']"
539,다비드 알라바,"['레온 고레츠카', '하미레스', 'P. 비에이라', '에마뉘엘 프티']"
540,다빈손 산체스,"['에릭 바이', '라파엘 바란', '얀 베르통언', 'A. 산체스', '솔 캠벨']"
541,다코남 제네,['윌리안']
542,단테,"['제임스 매디슨', '마츠 후멜스', 'K. 슈마이켈']"
543,달마우,['라울']
544,대니 로즈,"['파우지 굴람', '김태영', 'A. 산체스', '케빈 말키', '브루누 알베스']"
545,대니 웰벡,"['로빈 반페르시', '웨인 루니', '올리비에 지루']"
546,대런 깁슨,"['홍철', '카일 워커']"
547,대런 플레처,"['폴 포그바', '로이 킨', '루드 굴리트', '박지성']"
548,더글라스 코스타,"['리오넬 메시', '가레스 베일', '네이마르 Jr.', 'D. 마라도나']"
549,데니스 수아레스,['웨인 루니']
550,데니스 아오고,"['하미레스', '카푸', '홍철', '카일 워커', 'G. 잠브로타']"
551,데니스 프라트,"['얀 콜러', '안드레아 라지']"
552,데마르코스,"['테오', '마르셀루']"
553,데얀,"['박주영', '해리 케인', '김신욱', '해리 매과이어']"
554,데얀 로브렌,"['라파엘 바란', 'A. 고메스', '조지 베스트', 'M. 슈크르텔', '파올로 말디니']"
555,데울로페우,"['은골로 캉테', '킬리안 음바페', '제임스 밀너', '비니시우스 주니어', '루카스 레이바']"
556,데이비 클라선,"['L. 마테우스', '에마뉘엘 프티']"
557,데이비드 시먼,"['에덴 아자르', '페드로', '네이마르 Jr.', '리오넬 메시', '윌리안']"
558,데일리 블린트,"['P. 비에이라', '루드 굴리트', 'F. 레이카르트', '에마뉘엘 프티']"
559,데쿠,"['마르코스 로호', '리오넬 메시', '포르투', 'F. 레이카르트']"
560,데클런 라이스,"['로만 뷔어키', '잭 로드웰', '에마뉘엘 프티']"
561,데헤아,"['레프 야신', '리스 넬슨', '티보 쿠르투아', 'K. 슈마이켈']"
562,덴젤 둠프리스,"['P. 비에이라', '루드 굴리트', '리스 넬슨', '파올로 말디니']"
563,델리 알리,"['폴 포그바', '루카 모드리치', '해리 케인', '에릭 다이어']"
564,도니얼 말런,"['S. 아구에로', '퀸시 프로머스', '네이마르 Jr.', '미시 바추아이']"
565,도마고이 비다,"['리스 넬슨', 'M. 테어슈테겐']"
566,도안 리쓰,['D. 마라도나']
567,두반 사파타,"['C. 사파타', '로멜루 루카쿠', '조지 베스트', 'M. 발로텔리', '해리 케인']"
568,두샨 타디치,"['뤼카 디뉴', '테오', '로스 바클리', 'L. 에르난데스', 'J. 드락슬러']"
569,두웨이,"['이근호', '야프 스탐', '이동국', '박주영', '리오넬 메시']"
570,디보크 오리기,"['사디오 마네', '페르난도 토레스', '호베르투 피르미누', '로멜루 루카쿠', 'D. 스터리지']"
571,디에고 고딘,"['L. 마테우스', '은골로 캉테', '레온 고레츠카', '에마뉘엘 프티']"
572,디에고 데메,"['라힘 스털링', 'S. 아구에로', '네이마르 Jr.', '다비드 실바', '리로이 자네']"
573,디에고 락살트,"['홍철', '수소']"
574,디에고 로페스,"['디에고 고딘', 'L. 로페스', '카시야스', '데헤아']"
575,디에고 카펠,['펠레']
576,디에고 코스타,"['디에고 고딘', 'H. 크레스포', '로멜루 루카쿠', '루카스 모라', '곤살로 이과인']"
577,디에고 콘텐토,"['니코 슐츠', '다비드 알라바', '알마미 투레', '리로이 자네']"
578,디에고 페로티,"['에딘 제코', 'J. 클라위베르트', '네이마르 Jr.']"
579,디오구 조타,"['폴 포그바', '이스코', '하미레스']"
580,라르스 슈틴들,"['마르코 베라티', '루드 굴리트', '카일 워커']"
581,라마단 소비,"['크리스티아누 호날두', 'J. 데이비드']"
582,라민 가사마,"['피케', '킬리안 음바페', '가레스 베일', '솔 캠벨', '루드 굴리트']"
583,라사나 디아라,"['네이마르 Jr.', '루카 모드리치', '이누이 다카시', '은골로 캉테']"
584,라울,"['크리스티아누 호날두', '카림 벤제마', '리오넬 메시', '호나우두']"
585,라울 가르시아,"['테오', '카푸', '다니 가르시아', '미하엘 발락', 'G. 잠브로타']"
586,라울 알비올,"['다보르 슈케르', 'A. 발렌시아', '라울', '제이미 바디', '티에리 앙리']"
587,라울 히메네스,"['S. 아구에로', 'J. 히메네스', 'C. 비에리', '라울', '필리포 인자기']"
588,라이언 긱스,"['가레스 베일', '조지 베스트', '루이스 피구', '모하메드 살라']"
589,라이언 바벨,"['세스크 파브레가스', 'M. 발로텔리']"
590,라이언 세세뇽,"['라힘 스털링', '가레스 베일', '요한 크루이프', '파올로 말디니']"
591,라자 나잉골란,"['아르투로 비달', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
592,라파엘 바란,"['조르디 알바', '세르히오 라모스', 'F. 칸나바로', '파올로 말디니']"
593,라힘 스털링,"['리오넬 메시', '리로이 자네', '네이마르 Jr.', '에데르']"
594,랄프 페어만,"['리오넬 메시', '프랑크 리베리', '라힘 스털링']"
595,랜던 도노번,"['네이마르 Jr.', '펠레', '리오넬 메시', '마이클 오언']"
596,레길론,"['이강인', '가레스 베일']"
597,레나토 타피아,['다비드 알라바']
598,레모 프로일러,"['유리 베르치체', '모하메드 살라', '페를랑 멘디', '뱅자맹 르콩트']"
599,레뱅 퀴르자와,"['테오', '무사 시소코', '페를랑 멘디', '로베르 피레스', '홍철']"
600,레오 뒤부아,['케빈 말키']
601,레오 자바,"['조르디 알바', '홍철', '마르셀루', 'A. 산체스']"
602,레오나르두,"['네이마르 Jr.', '도안 리쓰']"
603,레온 고레츠카,"['이스코', '루드 굴리트', 'P. 비에이라', '에마뉘엘 프티']"
604,레온 바일리,"['벤 포스터', '손흥민', '데헤아', '가레스 베일', '네이마르 Jr.']"
605,레이턴 베인스,"['알반 라퐁', '리스 넬슨', '페를랑 멘디', 'L. 로페스', '저메인 렌스']"
606,레프 야신,"['잔루이지 부폰', '페트르 체흐', '에데르', '데헤아']"
607,로돌포 피사로,"['에데르', '카일 워커', '한스 바나컨']"
608,로드리,"['P. 비에이라', '에마뉘엘 프티', '라파엘 바란', '페르난지뉴', '루드 굴리트']"
609,로드리고,"['페르난도 토레스', '킬리안 음바페', 'P. 오바메양', '가레스 베일', '카일 워커']"
610,로랑 블랑,"['라파엘 바란', 'P. 비에이라', '세르히오 라모스', '파올로 말디니']"
611,로랑 코시엘니,"['라파엘 바란', '솔 캠벨', 'M. 발로텔리', '파올로 말디니', '호나우두']"
612,로렌,"['토마스 뮐러', '로멜루 루카쿠', '김신욱', '조지 베스트', '세르히오 라모스']"
613,로렌초 인시녜,"['손흥민', '잔프랑코 졸라', '가레스 베일', '네이마르 Jr.', '리오넬 메시']"
614,로리 베레타,"['다비드 루이스', 'P. 비에이라', '조나탄 비에라', '다비드 실바', '루카 모드리치']"
615,로만 뷔어키,"['주앙 칸셀루', '펠레', 'M. 발로텔리', '알렉스 산드루', '티에리 앙리']"
616,로맹 아무마,"['테오', 'D. 카를루스', '에딘 제코', '조르디 알바', '히바우두']"
617,로멜루 루카쿠,"['M. 발로텔리', 'H. 크레스포', '루드 굴리트', '파올로 말디니']"
618,로베르 피레스,"['루이스 피구', '니콜라 페페', '티에리 앙리']"
619,로베르토 바조,"['요한 크루이프', '리오넬 메시', '히바우두', '네이마르 Jr.']"
620,로비 브레이디,['네이마르 Jr.']
621,로비 파울러,"['S. 아구에로', '이언 러시', '네이마르 Jr.', '티에리 앙리']"
622,로빈 고젠스,"['페르난도 가고', '마르코스 요렌테']"
